##NAMES=Anorthite
##RRUFFID=R070598
##IDEAL CHEMISTRY=Ca(Al_2_Si_2_O_8_)
##LOCALITY=Eyscott Hill, Keswick, Cumberland, England
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Massive, greyish-green heterogenous aggregates on plagioclase matrix. Variety bytownite.
##STATUS=The identification of this mineral has been confirmed only by chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R070598
##MEASURED CHEMISTRY=Na_0.25_K_0.03_Ca_0.72_(Al_1.70_Fe^3+^_0.02_Si_2.28_)O_8_ ; light gray
##DIFFRACTION SAMPLE DESCRIPTION=Powder, with other plagioclase-series minerals
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

1334.330, 1365.816
1336.259, 1367.302
1338.187, 1371.457
1340.116, 1368.924
1342.044, 1369.280
1343.973, 1380.630
1345.901, 1387.801
1347.829, 1386.450
1349.758, 1388.495
1351.686, 1393.988
1353.615, 1395.634
1355.543, 1396.507
1357.472, 1392.581
1359.400, 1381.714
1361.329, 1382.608
1363.257, 1392.269
1365.186, 1399.318
1367.114, 1402.552
1369.043, 1395.454
1370.971, 1385.730
1372.900, 1384.194
1374.828, 1384.119
1376.756, 1378.907
1378.685, 1372.232
1380.613, 1368.411
1382.542, 1364.511
1384.470, 1356.996
1386.399, 1350.093
1388.327, 1346.231
1390.256, 1336.693
1392.184, 1321.067
1394.113, 1319.854
1396.041, 1330.561
1397.970, 1334.326
1399.898, 1331.208
1401.827, 1321.667
1403.755, 1312.036
1405.683, 1306.682
1407.612, 1305.311
1409.540, 1313.106
1411.469, 1319.541
1413.397, 1316.037
1415.326, 1312.871
1417.254, 1314.326
1419.183, 1315.950
1421.111, 1316.185
1423.040, 1318.122
1424.968, 1322.617
1426.897, 1327.055
1428.825, 1329.426
1430.754, 1328.165
1432.682, 1330.041
1434.610, 1336.348
1436.539, 1347.176
1438.467, 1370.944
1440.396, 1401.372
1442.324, 1434.825
1444.253, 1462.290
1446.181, 1481.363
1448.110, 1504.300
1450.038, 1533.373
1451.967, 1574.467
1453.895, 1619.059
1455.824, 1649.888
1457.752, 1664.999
1459.681, 1658.624
1461.609, 1640.513
1463.537, 1615.375
1465.466, 1577.842
1467.394, 1525.018
1469.323, 1476.325
1471.251, 1436.244
1473.180, 1401.772
1475.108, 1370.211
1477.037, 1347.305
1478.965, 1331.599
1480.894, 1307.513
1482.822, 1282.550
1484.751, 1277.067
1486.679, 1276.474
1488.608, 1266.151
1490.536, 1257.547
1492.464, 1254.265
1494.393, 1254.688
1496.321, 1257.645
1498.250, 1249.969
1500.178, 1237.308
1502.107, 1239.594
1504.035, 1248.251
1505.964, 1250.183
1507.892, 1250.117
1509.821, 1247.160
1511.749, 1241.047
1513.678, 1238.838
1515.606, 1239.993
1517.535, 1242.441
1519.463, 1242.659
1521.392, 1238.275
1523.320, 1239.777
1525.249, 1244.544
1527.177, 1233.029
1529.105, 1219.839
1531.034, 1227.882
1532.962, 1235.831
1534.891, 1224.786
1536.819, 1218.770
1538.748, 1228.009
1540.676, 1228.789
1542.605, 1215.777
1544.533, 1207.728
1546.462, 1207.694
1548.390, 1211.317
1550.319, 1216.574
1552.247, 1219.536
1554.176, 1223.581
1556.104, 1231.310
1558.032, 1233.383
1559.961, 1227.977
1561.889, 1220.168
1563.818, 1213.892
1565.746, 1209.163
1567.675, 1205.349
1569.603, 1202.868
1571.532, 1203.454
1573.460, 1204.443
1575.389, 1203.646
1577.317, 1206.944
1579.246, 1210.037
1581.174, 1213.641
1583.103, 1210.480
1585.031, 1195.615
1586.959, 1197.055
1588.888, 1210.527
1590.816, 1209.492
1592.745, 1209.111
