##NAMES=Libyan Desert glass
##RRUFFID=R060357
##IDEAL CHEMISTRY=
##LOCALITY=Libyan Desert, Sahara Desert, Egypt
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Pale tan amorphous fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R060357
##MEASURED CHEMISTRY=Si_1.00_O_2_
##DIFFRACTION SAMPLE DESCRIPTION=Powder, amorphous
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

1597.553, 658.3562
1599.482, 664.2081
1601.410, 669.5833
1603.339, 672.1100
1605.267, 674.2808
1607.196, 676.2766
1609.124, 679.0388
1611.052, 682.5994
1612.981, 687.6815
1614.909, 692.6368
1616.838, 694.3157
1618.766, 696.2877
1620.695, 701.4605
1622.623, 706.1151
1624.552, 709.6719
1626.480, 711.3265
1628.409, 711.3212
1630.337, 712.9586
1632.266, 715.1649
1634.194, 716.1534
1636.123, 716.8768
1638.051, 717.6827
1639.979, 719.1285
1641.908, 721.6121
1643.836, 724.0323
1645.765, 726.2482
1647.693, 726.2914
1649.622, 726.1158
1651.550, 730.5632
1653.479, 733.6765
1655.407, 731.0135
1657.336, 730.5212
1659.264, 734.5049
1661.193, 736.7739
1663.121, 737.4137
1665.050, 738.5643
1666.978, 740.1968
1668.906, 742.5760
1670.835, 745.0381
1672.763, 747.6024
1674.692, 748.6065
1676.620, 751.9117
1678.549, 751.3198
1680.477, 757.8839
1682.406, 762.9366
1684.334, 766.6647
1686.263, 768.1436
1688.191, 770.5498
1690.120, 774.9452
1692.048, 780.4137
1693.977, 786.5797
1695.905, 789.8358
1697.833, 795.1219
1699.762, 797.8172
1701.690, 803.4111
1703.619, 805.7333
1705.547, 808.9105
1707.476, 813.6722
1709.404, 818.7949
1711.333, 824.2162
1713.261, 830.9298
1715.190, 836.5864
1717.118, 837.2371
1719.047, 838.5944
1720.975, 844.1007
1722.904, 847.7830
1724.832, 849.5291
1726.760, 852.8211
1728.689, 856.4802
1730.617, 857.8405
1732.546, 859.7462
1734.474, 864.8471
1736.403, 867.9167
1738.331, 867.8420
1740.260, 867.9381
1742.188, 867.9536
1744.117, 866.4608
1746.045, 865.6701
1747.974, 864.8575
1749.902, 863.1903
1751.831, 863.1728
1753.759, 860.5938
1755.688, 860.1572
1757.616, 860.0389
1759.544, 859.4707
1761.473, 858.3795
1763.401, 854.4399
1765.330, 846.3903
1767.258, 841.3073
1769.187, 838.9989
1771.115, 835.1754
1773.044, 830.3943
1774.972, 825.3478
1776.901, 819.5152
1778.829, 812.5107
1780.758, 807.8763
1782.686, 801.0114
1784.615, 797.3867
1786.543, 788.5173
1788.471, 783.0850
1790.400, 777.4019
1792.328, 770.1381
1794.257, 762.9265
1796.185, 755.8177
1798.114, 748.0712
1800.042, 740.2267
1801.971, 733.3615
1803.899, 725.7132
1805.828, 719.1015
1807.756, 712.4562
1809.685, 705.7609
1811.613, 699.6311
1813.542, 692.4486
1815.470, 685.8956
1817.398, 679.0750
1819.327, 671.0026
1821.255, 665.4835
1823.184, 658.6071
1825.112, 654.4887
1827.041, 646.5980
1828.969, 639.6639
1830.898, 634.4220
1832.826, 631.7757
1834.755, 627.8386
1836.683, 622.7911
1838.612, 616.5237
1840.540, 610.8951
1842.469, 607.2611
1844.397, 604.5719
1846.325, 602.8854
1848.254, 597.2261
1850.182, 594.0101
1852.111, 587.8085
1854.039, 584.8655
1855.968, 578.3474
1857.896, 573.4922
1859.825, 570.8806
1861.753, 568.0223
1863.682, 565.1752
1865.610, 562.6940
1867.539, 560.4383
1869.467, 558.4030
1871.396, 555.9742
1873.324, 553.5425
1875.252, 553.3329
1877.181, 552.7100
1879.109, 548.1448
1881.038, 546.1307
1882.966, 547.3054
1884.895, 545.8219
1886.823, 542.7596
1888.752, 539.4921
1890.680, 537.2776
1892.609, 536.8085
1894.537, 537.2161
1896.466, 537.9695
1898.394, 536.4933
1900.323, 534.9504
1902.251, 535.3694
1904.179, 536.4754
1906.108, 538.1235
1908.036, 537.9383
1909.965, 536.7631
1911.893, 535.7281
1913.822, 535.4427
1915.750, 536.5385
1917.679, 537.7968
1919.607, 538.9034
1921.536, 537.5585
1923.464, 536.3802
1925.393, 538.1442
1927.321, 538.0355
1929.250, 534.9962
1931.178, 534.7283
1933.106, 535.9847
1935.035, 537.3392
1936.963, 538.1930
1938.892, 538.3337
1940.820, 537.6295
1942.749, 536.7288
1944.677, 537.7485
1946.606, 539.1947
1948.534, 540.5395
1950.463, 540.1541
1952.391, 538.0851
1954.320, 536.2606
1956.248, 534.8549
1958.177, 533.6514
1960.105, 532.7698
1962.033, 532.2831
1963.962, 531.9610
1965.890, 532.1985
1967.819, 532.7048
