##NAMES=Calcurmolite
##RRUFFID=R070028
##IDEAL CHEMISTRY=(Ca_1-x_Na_x_)_2_(UO_2_)_3_(MoO_4_)_2_(OH)_6-x_·nH_2_O
##LOCALITY=Gornoe, Transbaikal region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Lemon-yellow massive
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070028
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785

1978.575, 949.8880
1980.504, 925.9131
1982.432, 910.4711
1984.360, 931.3753
1986.289, 933.0332
1988.217, 915.9697
1990.146, 936.4093
1992.074, 956.0834
1994.003, 940.5703
1995.931, 916.7648
1997.860, 892.9448
1999.788, 897.3644
2001.717, 906.3756
2003.645, 903.8632
2005.574, 886.2001
2007.502, 863.2617
2009.431, 889.2278
2011.359, 912.4240
2013.287, 885.8728
2015.216, 865.5202
2017.144, 854.0698
2019.073, 851.4152
2021.001, 853.0499
2022.930, 856.7238
2024.858, 863.9966
2026.787, 868.6809
2028.715, 843.9207
2030.644, 822.7015
2032.572, 826.7223
2034.501, 832.9587
2036.429, 837.9507
2038.358, 831.2612
2040.286, 826.7278
2042.214, 833.2591
2044.143, 830.9628
2046.071, 824.2379
2048.000, 822.0402
2049.928, 818.4804
2051.857, 810.8868
2053.785, 803.4439
2055.714, 801.6602
2057.642, 820.6985
2059.571, 815.2724
2061.499, 777.8736
2063.428, 780.2585
2065.356, 791.5995
2067.285, 789.0721
2069.213, 782.6985
2071.142, 774.8055
2073.070, 774.6675
2074.999, 774.3762
2076.927, 769.8189
2078.855, 771.5410
2080.784, 776.6844
2082.712, 770.4445
2084.641, 759.1767
2086.569, 745.4545
2088.498, 748.2233
2090.426, 757.0814
2092.355, 751.7038
2094.283, 745.8759
2096.212, 743.2307
2098.140, 744.4906
2100.069, 743.6555
2101.997, 735.0115
2103.926, 722.1131
2105.854, 710.7110
2107.782, 722.3365
2109.711, 730.8829
2111.639, 724.0819
2113.568, 709.3774
2115.496, 695.8983
2117.425, 698.7783
2119.353, 698.7010
2121.282, 692.7315
2123.210, 693.5667
2125.139, 695.1646
2127.067, 691.1303
2128.996, 680.5607
2130.924, 674.8080
2132.853, 678.5955
2134.781, 681.6198
2136.709, 691.4415
2138.638, 682.6448
2140.566, 667.0688
2142.495, 670.3807
2144.423, 671.7779
2146.352, 667.0607
2148.280, 655.7914
2150.209, 649.8314
2152.137, 667.6868
2154.066, 664.8110
2155.994, 645.9791
2157.923, 639.9061
2159.851, 635.5275
2161.780, 628.8397
2163.708, 632.2124
2165.636, 637.9678
2167.565, 632.7485
2169.493, 619.9122
2171.422, 608.5034
2173.350, 623.8936
2175.279, 630.6028
2177.207, 614.5349
2179.136, 613.7083
2181.064, 620.0939
2182.993, 622.1346
2184.921, 620.5263
2186.850, 612.4501
2188.778, 613.2477
2190.707, 614.3622
2192.635, 597.0950
2194.563, 597.2575
2196.492, 603.8394
2198.420, 589.7346
2200.349, 587.6199
2202.277, 600.8525
2204.206, 589.4824
2206.134, 575.6854
2208.063, 578.6913
2209.991, 572.2510
2211.920, 560.5193
2213.848, 564.7078
2215.777, 559.4428
2217.705, 551.7947
2219.634, 547.7599
2221.562, 546.2068
2223.490, 549.4156
2225.419, 552.4211
2227.347, 551.4484
2229.276, 535.3746
2231.204, 532.1544
2233.133, 534.3397
2235.061, 532.8875
2236.990, 527.3386
2238.918, 511.0683
2240.847, 529.7326
2242.775, 547.3046
2244.704, 528.9113
2246.632, 517.3046
2248.561, 511.9203
2250.489, 520.9269
2252.417, 514.3778
2254.346, 500.3420
2256.274, 513.2750
2258.203, 514.2928
2260.131, 496.2419
2262.060, 486.5558
2263.988, 487.4908
2265.917, 513.4257
2267.845, 502.6390
2269.774, 473.1632
2271.702, 482.5623
